ID	lineage	domain	phylum	class	order	family	genus	species
A0A7C6K9B3	d__Bacteria;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Tepidimicrobiaceae;g__Tepidimicrobium;s__	d__Bacteria	p__Bacillota	c__Tissierellia	o__Tissierellales	f__Tepidimicrobiaceae	g__Tepidimicrobium	s__
A0A7C5LLG2	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__	f__	g__	s__
A0A7C3ZP47	d__Bacteria;p__Elusimicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Elusimicrobiota	c__	o__	f__	g__	s__
A0A7C3DKL2	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Bryobacterales	f__	g__	s__
A0A7C1X0F5	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Planctomycetota	c__	o__	f__	g__	s__
A0A6N2CWB8	d__Bacteria;p__Bacteroidota;c__Saprospiria;o__Saprospirales;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__Saprospiria	o__Saprospirales	f__	g__	s__
A0A6M8VIV2	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__	o__	f__	g__	s__
A0A6I3EAL3	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A6I2X9W7	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A662A435	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__	o__	f__	g__	s__
A0A651GVC4	d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__Nitriliruptor;s__	d__Bacteria	p__Actinomycetota	c__Nitriliruptoria	o__Nitriliruptorales	f__Nitriliruptoraceae	g__Nitriliruptor	s__
A0A5N5J248	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flagellimonas;s__	d__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flagellimonas	s__
A0A5E5QL65	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A5E4JN93	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea	p__	c__	o__	f__	g__	s__
A0A5E4I038	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea	p__	c__	o__	f__	g__	s__
A0A5E4HIL1	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea	p__	c__	o__	f__	g__	s__
A0A558DIQ0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Sedimenticola;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__Sedimenticola	s__
A0A545UCL3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Pleioneaceae;g__Aliikangiella;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Pleioneaceae	g__Aliikangiella	s__
A0A525D7G2	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__	s__
A0A525CJC1	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__	s__
A0A525CG71	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A521D9D1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;g__Saccharicrinis;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Marinilabiliales	f__Marinilabiliaceae	g__Saccharicrinis	s__
A0A520KJQ8	d__Archaea;p__Methanobacteriota;c__Methanonatronarchaeia;o__;f__;g__;s__	d__Archaea	p__Methanobacteriota	c__Methanonatronarchaeia	o__	f__	g__	s__
A0A4V2IW89	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Flectobacillaceae;g__Aquirufa;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Flectobacillaceae	g__Aquirufa	s__
A0A4V0ZHB9	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Verrucomicrobiota	c__	o__	f__	g__	s__
A0A4U8SEV9	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__
A0A4R7J282	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Naumannella;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Naumannella	s__
A0A4R3I5A7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Reinekea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Saccharospirillaceae	g__Reinekea	s__
